Name	Alias	Rarity	Rules Text	Flavor Text	Name 2	Alias 2	Rules Text 2	Flavor Text 2	
Command Tower		common	T: Add one mana of any color in your commander’s color identity.	When defeat is near and guidance is scarce, all eyes look in one direction.	
Woodland Doe	Good-Fortune Unicorn	uncommon	Whenever another creature you control enters, put a +1/+1 counter on that creature.	“Less than thirty paces away stood a small doe, not yet too scrawny from winter, but desperate enough to wrench bark from a tree in the clearing. A deer like that could feed my family for a week or more.”	
Loyal Guardian		uncommon	Trample\n Lieutenant — At the beginning of combat on your turn, if you control your commander, put a +1/+1 counter on each creature you control.	Each scar on its hide is a badge of honor.	
Reflector Mage		uncommon	When this creature enters, return target creature an opponent controls to its owner’s hand. That creature’s owner can’t cast spells with the same name as that creature until your next turn.		
Tranquil Frillback		rare	When this creature enters, you may pay G up to three times. When you pay this cost one or more times, choose up to that many —\n • Destroy target artifact or enchantment.\n • Exile target player’s graveyard.\n • You gain 4 life.		
Thragtusk		rare	When this creature enters, you gain 5 life.\n When this creature leaves the battlefield, create a 3/3 green Beast creature token.	“Always carry two spears.”	
Illyrian Guardian	Selfless Spirit	rare	Flying\n Sacrifice this creature: Creatures you control gain indestructible until end of turn.	“I can think of no better way to end my existence than to defend those who need it most.”	
Mortal Land Hound	Selfless Savior	uncommon	Sacrifice this creature: Another target creature you control gains indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy this creature.)	Feyre had freed them, and not one would ever forget.	
Illyrian Formation	Faerie Formation	rare	Flying\n 3U: Create a 1/1 blue Faerie creature token with flying. Draw a card.	“Clad in battle-black that hugged their muscled forms, their armour was intricate, scaled...”	
Spring Court Tender	Tendershoot Dryad	rare	Ascend (If you control ten or more permanents, you get the city’s blessing for the rest of the game.) (If you control ten or more permanents, you get the city’s blessing for the rest of the game.)\n At the beginning of each upkeep, create a 1/1 green Saproling creature token.\n Saprolings you control get +2/+2 as long as you have the city’s blessing.		
Alis, Keeper of the Woodland	Jaheira, Friend of the Forest	rare	Tokens you control have “T: Add G.”\n Choose a Background (You can have a Background as a second commander.)	“If you’re wise, you’ll keep your mouth shut and your ears open.”	
Doubling Season		rare	If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.\n If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.		
Swiftfoot Boots		uncommon	Equipped creature has hexproof and haste. (It can’t be the target of spells or abilities your opponents control. It can attack and T no matter when it came under your control.)\n Equip 1 (1: Attach to target creature you control. Equip only as a sorcery.)		
Lightning Greaves		uncommon	Equipped creature has haste and shroud. (It can’t be the target of spells or abilities.)\n Equip 0		
The Middengard Wyrm	End-Raze Forerunners	rare	Vigilance, trample, haste\n When this creature enters, other creatures you control get +2/+2 and gain vigilance and trample until end of turn.		
Inspiring Call		uncommon	Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy them.)		
Eternal Witness		uncommon	When this creature enters, you may return target card from your graveyard to your hand.	She remembers every word spoken, from the hero’s oath to the baby’s cry.	
Cultivate		common	Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.	All seeds share a common bond, calling to each other across infinity.	
Kodama's Reach		common	Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.	“The land grows only where the kami will it.”	
Sylvan Scrying		uncommon	Search your library for a land card, reveal it, put it into your hand, then shuffle.	One glimpse of an elf’s home lasts her weeks away in the wild.	
Velaris Seer	Faerie Seer	common	Flying\n When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)	“Truth is deadly. Truth is freedom. Truth can break and mend and bind.”	
Night Court Informant	Mischievous Mystic	uncommon	Flying\n Whenever you draw your second card each turn, create a 1/1 blue Faerie creature token with flying.	“I thought they answered to Rhys.”\n “They answer to both, but they were trained by Azriel first.”	
Velaris Spellweaver	Murmuring Mystic	uncommon	Whenever you cast an instant or sorcery spell, create a 1/1 blue Bird Illusion creature token with flying.	“Velaris’s walls are well protected and have not been breached in five thousand years.”	
Morrigan, Shield of the Court	Shalai, Voice of Plenty	rare	Flying\n You, planeswalkers you control, and other creatures you control have hexproof.\n 4GG: Put a +1/+1 counter on each creature you control.		
Shadow-Bound Host	Welcoming Vampire	rare	Flying\n Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.	“Come now, pet. You know my name — isn’t it fair that I know yours?”	
Welcome to Velaris	Tocasia's Welcome	rare	Whenever one or more creatures you control with mana value 3 or less enter, draw a card. This ability triggers only once each turn.	“Welcome to Velaris. The City of Starlight.”	
Painted into Life	Intangible Virtue	uncommon	Creature tokens you control get +1/+1 and have vigilance.	“I dipped the brush into the paint, and for a heartbeat, it felt as though the magic in my blood was guiding the hairs.”	
Fall of Hybern	Hour of Reckoning	rare	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for 1 or one mana of that creature’s color.)\n Destroy all nontoken creatures.	Cassian had picked his mark well. Hybern fled now. Outright turned and fled for the river.	
Champion of Lambholt		rare	Creatures with power less than this creature’s power can’t block creatures you control.\n Whenever another creature you control enters, put a +1/+1 counter on this creature.		
Inspiring Statuary		rare	Nonartifact spells you cast have improvise. (Your artifacts can help cast those spells. Each artifact you tap after you’re done activating mana abilities pays for 1.) (Your artifacts can help cast this spell. Each artifact you tap after you’re done activating mana abilities pays for 1.)	Ghirapur’s most celebrated inventors have been immortalized in clockwork.	
Night Court Herald	Faerie Harbinger	uncommon	Flash\n Flying\n When this creature enters, you may search your library for a Faerie card, reveal it, then shuffle and put that card on top.	“There you are. I’ve been looking \n for you.”	
Cryptolith Rite		rare	Creatures you control have “T: Add one mana of any color.”	The chant was incomprehensible, but its power was unmistakable.	
Feyre, High Lady of Prythian		common	Flying\n Whenever you cast a noncreature spell, create a 1/1 blue Elf Faerie creature token.\n Tap three untapped Elf and/or Faerie creatures you control: Draw a card.		
